code,name,image,sector,created_at,updated_at
ABB,ABBEYDALE,media/community_images/ABB.png,NORTHEAST,2012-09-04 06:00:00.000000-08:00,2012-09-04 06:00:00.000000-08:00
ABT,AMBLETON,,NORTH,2012-09-04 06:00:00.000000-08:01,2012-09-04 06:00:00.000000-08:01
ACA,ACADIA,media/community_images/ACA.png,SOUTH,2012-09-04 06:00:00.000000-08:02,2012-09-04 06:00:00.000000-08:02
ALB,ALBERT PARK/RADISSON HEIGHTS,,EAST,2012-09-04 06:00:00.000000-08:03,2012-09-04 06:00:00.000000-08:03
ALP,ALPINE PARK,,SOUTH,2012-09-04 06:00:00.000000-08:04,2012-09-04 06:00:00.000000-08:04
ALT,ALTADORE,,CENTRE,2012-09-04 06:00:00.000000-08:05,2012-09-04 06:00:00.000000-08:05
APP,APPLEWOOD PARK,media/community_images/APP.png,EAST,2012-09-04 06:00:00.000000-08:06,2012-09-04 06:00:00.000000-08:06
ARB,ARBOUR LAKE,media/community_images/ARB.png,NORTHWEST,2012-09-04 06:00:00.000000-08:07,2012-09-04 06:00:00.000000-08:07
ASP,ASPEN WOODS,media/community_images/ASP.png,WEST,2012-09-04 06:00:00.000000-08:08,2012-09-04 06:00:00.000000-08:08
AUB,AUBURN BAY,media/community_images/AUB.png,SOUTHEAST,2012-09-04 06:00:00.000000-08:09,2012-09-04 06:00:00.000000-08:09
BDO,BONAVISTA DOWNS,media/community_images/BDO.png,SOUTH,2012-09-04 06:00:00.000000-08:10,2012-09-04 06:00:00.000000-08:10
BED,BEDDINGTON HEIGHTS,media/community_images/BED.png,NORTH,2012-09-04 06:00:00.000000-08:11,2012-09-04 06:00:00.000000-08:11
BEL,BEL-AIRE,media/community_images/BEL.png,CENTRE,2012-09-04 06:00:00.000000-08:12,2012-09-04 06:00:00.000000-08:12
BLM,BELMONT,media/community_images/BLM.png,SOUTH,2012-09-04 06:00:00.000000-08:13,2012-09-04 06:00:00.000000-08:13
BLN,BELTLINE,media/community_images/BLN.png,CENTRE,2012-09-04 06:00:00.000000-08:14,2012-09-04 06:00:00.000000-08:14
BNF,BANFF TRAIL,media/community_images/BNF.png,CENTRE,2012-09-04 06:00:00.000000-08:15,2012-09-04 06:00:00.000000-08:15
BNK,BANKVIEW,media/community_images/BNK.png,CENTRE,2012-09-04 06:00:00.000000-08:16,2012-09-04 06:00:00.000000-08:16
BOW,BOWNESS,media/community_images/BOW.png,NORTHWEST,2012-09-04 06:00:00.000000-08:17,2012-09-04 06:00:00.000000-08:17
